speech_id,session,committee,date,issue,speaker,speaker_position,role_level,ministry,is_responsible,responsibility_tag,questioner,questioner_group,speech_text,speech_url
121604260X00220241218_033,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"まさに、財源も含めて年金部会において今御検討をいただいているというふうに承知をしています。
　その上で、先ほどおっしゃいました、なぜ年金部会とかにも資料を示さなかったかということでいいますと、現行制度より増加する国庫負担の必要性を確認すること等を目的として作ったものでございまして、そういう意味では、基礎年金の国庫負担割合二分の一につきましては維持する前提で年金部会の資料においても財源確保の必要性をお示ししているということでございまして、そのような理解でございます。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/33
121604260X00220241218_035,216,厚生労働委員会,2024-12-18,第2号,東国幹,財務大臣政務官,大臣政務官,財務省,False,非担当,不明,不明,"御指摘のマクロ経済スライドの早期終了については、社会保障審議会年金部会において実施の是非も含めて現在御議論をいただいているものと承知しており、財務省としては、仮定の御質問には予断を持って答えることは差し控えたいと考えております。
　以上です。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/35
121604260X00220241218_037,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"年金生活者支援給付金は、年金等の所得が低い方を対象にして所得制限の下で限定的に支給される、いわば公助の仕組みでございまして、所得の多寡にかかわらず全国民に共通して一定の年金額を保障する、いわば共助としての基礎年金とは、老後の所得保障における役割というのが異なっているというふうに考えております。
　その上で、五倍規模での給付を行う場合、現行の支給水準で考えれば、月に満額約二万五千円を支給するということになりますが、そうした規模の給付を行うことが他の年金受給者との間でのバランスが取れるかどうかといったことなど、財源のみならず、その給付の性質であったり対象者の範囲、保険料負担との関係も踏まえた検討を要すると考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/37
121604260X00220241218_039,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"御承知のとおり、減るといいますよりも、現行制度よりも伸びの水準がその分抑制されるということでございますが、そうした方の対応の必要性については、先般の予算委員会でも問題提起をしていただいたものというふうに承知をしています。
　御指摘も踏まえて、今、社会保障審議会では幅のある見直しの議論を行っていただいているところでありまして、その中で年末の取りまとめに向けて、そこの中で議論していただきたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/39
121604260X00220241218_041,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"改めていろいろ資料でお示しいただきました。
　例えばＥＵにおいては、科学的に不確実なことがあっても、利用可能な科学的知見に基づくリスク評価により健康への有害性が特定される場合、その暫定的なリスク管理措置を取り得るという予防原則の考え方を踏まえて、農薬や添加物等の規制が行われているというふうに承知をしています。
　一方で、我が国では、食品安全基本法に基づき、科学的知見に基づいた食品の安全性の確保に必要な措置を講ずるということで、国民の健康への悪影響が未然に防止されるようにするという考え方の下に立ってございます。
　委員御指摘の点につきましては、農薬の使用に係る基準については農林水産省が、食品中の残留農薬の基準については消費者庁が、食品添加物の使用に係る基準は消費者庁が、それぞれ科学的知見に基づき策定しているものでございまして、厚生労働省としては、各省庁が設定した残留農薬の基準や食品添加物の基準に従い監視を行っているところでございますが、引き続き、関係省庁と連携をしながら、食品の安全の確保に努めてまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/41
121604260X00220241218_045,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,現行において、消費者庁や農林水産省において、科学的知見を集積し、必要に応じた検討が行われているというふうに承知をしておりますが、引き続き、各省においての取組とも連携を取らせていただきながら、食品監視を行っていきたいと思っております。（長妻委員「いや、予防原則。予防原則を日本で入れるということ」と呼ぶ）現行の体制……（長妻委員「自分の言葉で」と呼ぶ）ですから、現行においてしっかり……（長妻委員「予防原則を入れることにどういう感想を持っているんですか」と呼ぶ）,https://kokkai.ndl.go.jp/txt/121604260X00220241218/45
121604260X00220241218_047,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,そういったことも含めて、どういう在り方がいいか、引き続き関係省庁と連携してまいりたいと思います。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/47
121604260X00220241218_051,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"まず、政府の立場で論評することは差し控えさせていただきたいと思います。
　その上で、今、政治不信が行われている中で、それぞれの関係者の方々が適切に説明責任を果たしていただくということだと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/51
121604260X00220241218_053,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,今後のその在り方につきましては、今、各党各会派で御議論いただいているというふうに承知をしておりまして、そこの内容についてはお答え差し控えさせていただきますが、いずれにしても、決まったルールには従うということでございます。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/53
121604260X00220241218_055,216,厚生労働委員会,2024-12-18,第2号,鰐淵洋子,厚生労働副大臣,副大臣,厚生労働省,True,担当,不明,不明,通告いただいておりませんが、企業・団体献金の在り方につきましては、先ほども大臣からもございましたが、三月までに方向性を決めるということになっておりますので、そういった方向に従いたいと思いますし、斉藤代表は代表としての御発言がありまして、私も承知をしておりますので、いずれにしても、しっかりと議論していただいた上で、決まったことに私も従っていきたいと思っております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/55
121604260X00220241218_057,216,厚生労働委員会,2024-12-18,第2号,鰐淵洋子,厚生労働副大臣,副大臣,厚生労働省,True,担当,不明,不明,これはちょっと、我が党の考えとして、第三者の立場とかいろいろな方々の御意見も必要ではないかということで、そういった場も設けていただく中で、いろいろな御意見をいただいた上で判断もしていきたいということで申し上げさせていただいておりますので、公明党の立場としては、そういった意見を持っているということで御紹介させていただきたいと思います。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/57
121604260X00220241218_059,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,まず、税と社会保険制度では制度の目的であったり設計が異なりますから、必ずしも同じ対応が適切かどうかということについては議論が分かれるところでありますが、社会保険制度については、働く方がいわゆる年収の壁を意識せず、希望に応じて働くことができる環境整備というのは非常に重要であるというふうに考えておりまして、厚生労働省としては、被用者保険に加入していただいた場合のメリットを周知しながら、適用拡大に取り組んでまいりたいと考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/59
121604260X00220241218_063,216,厚生労働委員会,2024-12-18,第2号,東国幹,財務大臣政務官,大臣政務官,財務省,False,非担当,不明,不明,"人手不足への対応が急務となる中、年収の壁を意識せずに働く時間を延長することができる環境づくりを後押しするため、それぞれの制度における対応が重要であるというふうには考えております。
　税制面では、いわゆる百三万円の壁の見直しを含む令和七年度税制改正については、その具体的な実施方法等を含め、現在、与党税制調査会において議論をなされているものと承知をしているところでございます。
　政府としては、与党での議論を踏まえ、適切に対応してまいりたいと考えております。
　以上です。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/63
121604260X00220241218_065,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,収入の要件によってそこの就業を抑制したり調整したりされる、そういった問題についてはセットで考えていく必要があるかと思いますが、先ほども言いましたように、税と社会保険制度では制度の目的や設計というものが異なりますから、そういったことも踏まえた議論が必要だというふうに考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/65
121604260X00220241218_067,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"今御指摘のように、様々な御不安の声はいただいています。その上で、まだ方向性については定まっておりませんが、今後、被用者保険の適用拡大については、円滑な適用を進められる環境整備を行う観点から、事業主の負担増への配慮措置として、準備期間を十分に確保すること、積極的に周知広報すること、事務手続に関する支援を行うこと、また経営に関する支援を行うことなどについて、今議論が進められているところでございます。
　御指摘がありました、労働者の保険料負担割合を下げることができる、そういった特例につきましても、企業側の保険料軽減であったり、より広く活用される環境の整備といった視点も含めて、今議論が行われているところでございます。
　今後も、その適用拡大を進める際には、新たに保険料負担が生じる事業主にも適用拡大のメリットなど正確な情報を分かりやすく説明し、御理解をいただきながら進めることが大変重要であると考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/67
121604260X00220241218_069,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,まだ先ほども申しましたように結論が出ておりませんが、様々な検討を進めていく中で、今おっしゃったように、小規模事業主、そういった方々の負担も考えながら議論を進めていきたいと考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/69
121604260X00220241218_071,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"まず、マイナ保険証については、本人の健康医療情報を活用した適切な医療の提供に寄与するものですから、そういったメリットもあるので、マイナ保険証を基本とする仕組みに移行したところでございます。
　こうした基本方針の下で、ただ、移行に際して不利益を被る方がいないように、今おっしゃられたように、発行済みの保険証が最大一年間利用できることであったり、お持ちでない方には申請によらず資格確認書を発行すること、また、何らかの理由で利用できなかった方でも円滑に保険診療を受けられる方法等について周知を図ってきたところでございます。
　その上で、今おっしゃいましたように、このリーフレット、委員もつけていただいていますように、リーフレットを使いまして、これはプリントアウトしていただければ医療機関とかにポスターとしても貼っていただけるような、そういう対応にもなっています。そういったことを通じて、患者の方々への周知に役立てていただけるように、今月十二日に全医療機関、薬局に送付をさせていただいたところでございます。その告知の中に、保険証も最大一年間利用可能なことも記載してございまして、そういったことを通じて、引き続き丁寧に取り組んでまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/71
121604260X00220241218_073,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"先ほども申しましたように、マイナ保険証は様々なメリットがございますから、そちらに移行をするということでございます。
　その中で、今おっしゃったように、様々なトラブルがあるとすれば、それが出ないような対応を行っていくとともに、不安を抱えていらっしゃる方、そういった方々には資格確認書を送ったり、トラブルがあった際にも円滑に保険診療を受けていただける、そういう方策について保険者や医療機関とも協力しながらしっかり対応を進めてまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/73
121604260X00220241218_075,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"マイナ保険証の解除申請がなされ、サーバーに登録された数は、十一月八日時点で七百九十二件でございます。
　その後の件数については、ただいま集計作業を行っておりまして、その作業を今待っている状況でございますので、それが出てき次第、速やかに公表したいと思います。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/75
121604260X00220241218_079,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"委員御指摘のとおり、介護報酬改定の影響については本年九月から調査を実施しているところでございまして、先ほどおっしゃったように、来年三月頃にその結果を公表するとしておりますが、さきの衆議院厚生労働委員会における決議も踏まえて、十分な解析、検証を行った上で、三月を待たずに、可能な限り速やかに公表できるように努めてまいりたいというふうに考えております。
　そして、補正の対応等について御指摘がありました。
　まず、今回、報酬改定においては、基本報酬については対応した一方で、処遇改善は大きく加算をさせていただいている状況にあります。しかしながら、取得が十分に行われていないというような御指摘もあるところから、今回、取得要件を弾力化して、なるべく取りやすくしていただく。そういったことと併せて、今回のこの補正によって処遇改善の措置を講じておるところでございまして、そういった効果がしっかり表れるかどうか、現場をしっかり検証した上で、次なる対応については考えてまいりたいというふうに思います。
　常勤化継続支援につきましても、まず、そういった取組を各地で進めていただく、その中で今後の対応について考えてまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/79
121604260X00220241218_083,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,様々な社会保障の在り方を考えていく上で、当然、今生活していらっしゃる方、そういった方々の社会保障について充実させるとともに、将来を担う方々、将来世代の負担感、そういったこととの均衡を図りながら、バランスの取れた社会保障制度を構築していく、そういう必要があるというふうに思っていまして、そういう観点から、今、改革工程等にのっとって様々な社会保障改革を進められているところでして、それを着実に進めてまいりたいと考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/83
121604260X00220241218_085,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,御指摘のとおり、今、働き方がかなり多様化しております。そういった中で、様々な社会保障制度を構築するに当たっては、働き方に中立的な制度となるように取り組んでいく必要があると考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/85
121604260X00220241218_087,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,長期的なトレンド、足下では改善しているというふうに聞いていますが、長期的にはそういう傾向があるというふうに思っています。そういったことも含めて、しっかりセーフティーネットが全ての方々に機能するような在り方について模索していきたいと考えています。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/87
121604260X00220241218_089,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"基礎年金の拠出期間を延長するということについては、今般の財政検証においても、オプション試算としてその効果等を示しているところでございます。
　委員御指摘いただいた具体的な制度設計につきましては、その御提案も含めて様々なことが考えられるところでございまして、この拠出期間延長の今後の財政検証というものの取扱いについてはしっかりと検討してまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/89
121604260X00220241218_091,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,委員がそのような問題意識をお持ちであるということについては理解をしております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/91
121604260X00220241218_093,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,ここについては様々な御議論がありますから、そういったことについては様々な御意見をしっかり踏まえた対応をしていく必要があると考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/93
121604260X00220241218_095,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"委員の御意見については、傾聴に値する御意見だというふうに思います。
　今、年金部会等でも今後の在り方について様々検討なされているところでございまして、そういったこれまでの検討を踏まえて、今年中に結論がなされるものというふうに承知をしております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/95
121604260X00220241218_099,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,そういう各地域の実情に応じた自主的な取組、そういったものが支援されていくような体制をつくっていきたいと思います。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/99
121604260X00220241218_101,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,委員御指摘のとおり、同じ自治体の中でも、全てカバーできているかという話もございますし、仮にカバーしていても、今、人材不足とかでありますから、そこでニーズがある方に十分な人材とかが配置されているか、そういった問題もあるというふうに思います。そういったことを丁寧に見ていく必要はあるというふうに感じております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/101
121604260X00220241218_103,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"例えば、事業所が指定を受けようとする際に、指定権者である都道府県に対して運営規程を提出することとされておりまして、その運営規程において事業の実施地域を定めるということにされております。ただ、先ほどそこについては問題意識としてお示しをされたところでございます。
　今後も、各都道府県においてサービス利用の実態の把握が行われるところでございますが、厚生労働省としましても、各都道府県での十分な実態の把握であったり、それに基づく必要なサービス提供体制が確保されるように、引き続き各都道府県に働きかけてまいりたいと考えております。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/103
121604260X00220241218_105,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"地域によって必要なサービスを受けることができないということがあってはならないという観点から、私の地元と照らし合わせても、大変な問題意識は持っております。
　その上で、先ほど言いました実態の把握の在り方等も含めて、どういう在り方がいいのか、しっかり検証してまいりたいと思います。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/105
121604260X00220241218_107,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,現時点での対応が強いか弱いかということについてはお答えを差し控えさせていただきますが、いずれにしても、そういった対応を強化していくということは大変必要なことだと考えております。,https://kokkai.ndl.go.jp/txt/121604260X00220241218/107
121604260X00220241218_113,216,厚生労働委員会,2024-12-18,第2号,福岡資麿,厚生労働大臣,大臣,厚生労働省,True,担当,不明,不明,"今、委員の問題意識としては、選任のときの報告は義務づけられていますが、解任時の報告の仕組みがないので、そこにタイムラグが生じているのじゃないかというような御指摘もあったというふうに承っています。
　少なくとも、年一回の労働基準監督署に報告を求めている定期健康診断の結果報告書では、産業医の氏名等も記載することとなっておりまして、これで産業医が現職として選任されているかどうか確認されることができるというふうに考えておりますが、いずれにしましても、しっかり、どうやって捕捉することができるか等は一つの課題だと認識をさせていただいた上で、どういうやり方がふさわしいか、検証してまいりたいと思います。",https://kokkai.ndl.go.jp/txt/121604260X00220241218/113
