speech_id,session,committee,date,issue,speaker,speaker_position,role_level,ministry,is_responsible,responsibility_tag,questioner,questioner_group,speech_text,speech_url,attitude_tags,content_tags,raw_tag_response
121604601X00420241219_013,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"御高承のように、育児休業をしている職員は、職務に従事しないことから、原則として給与は支給されません。
　しかし、一方、地方公務員共済組合から育児休業手当金が支給されます。大体約八割ぐらいだと思います。これに加え、令和七年四月からは育児休業支援手当金も支給される予定であります。
　育児休業中は共済の掛金等が免除になるため、これらを合わせるとほぼ手取り額と同額が支給されることとなります。
　また、今委員から御質問いただきました、特段の理由がない限り取得を前提とした体制の準備や業務分担の見直しなどの業務運営の確保、育児休業を希望する者を早めに把握して代替職員を補充する計画を立てることなどの取組は効果的と考えておりまして、このような取組を行っている自治体の事例についても情報提供を行ってきているところであります。
　これらの取組を含め、各自治体における男性の育児休業の取得が一層推進されるよう必要な取組を行っていきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/13,"EXPLAIN,POSITIVE","SPECIFIC_PLAN,OWN_OPINION,BUREAUCRATIC,TIMELINE","```json
{""attitude"": [""EXPLAIN"", ""POSITIVE""], ""content"": [""SPECIFIC_PLAN"", ""OWN_OPINION"", ""BUREAUCRATIC"", ""TIMELINE""]}
```"
121604601X00320241218_024,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"福田先生には、私の拙文を読んでいただいてありがとうございました。
　ただ、お分かりいただけると思うんですけれども、そのほかの点については先生も御理解いただけるわけですね、消費税以外。消費税について、やはりいろいろ価値観が分かれると思うんですよね。だから、私自身としては、人頭税という考え方もあるんですが、やはり応分に国民が負担することは重要だと思います。ただ、これは、これを言い出すと本当にちょっと問題があるのではと。（福田（昭）委員「もういいです」と呼ぶ）いいんですか。これから話そうと思っていました。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/24,POSITIVE,"OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00320241218_013,216,総務委員会,2024-12-18,第3号,阿達雅志,総務副大臣,副大臣,総務省,True,担当,不明,不明,"まず、今般の能登半島地震及び豪雨により犠牲となられた方々に哀悼の意を表するとともに、被災された皆様に心からお見舞いを申し上げます。
　能登半島地震においては、携帯電話サービスの維持、早期復旧に当たり、官民連携による取組が進められたところであり、具体的には、携帯電話事業者各社が移動電源車、車載型基地局、衛星インターネット機器といった応急復旧機材の設置を進め、総務省は応急復旧に必要な機材、燃料、人員の搬送や道路の啓開について自衛隊や国交省などの関係機関との調整を行うといった取組が行われました。
　総務省においては、今回の能登半島地震の取組も踏まえ、引き続き、官民や事業者間の連携のための体制を整備するとともに、大容量化した蓄電池、ソーラーパネルの設置や衛星回線による通信回線の冗長化による携帯電話基地局の強靱化、移動電源車の配備等による応急復旧体制の整備などの通信インフラの強靱化についても国が事業者とともに進めることにより、災害時において通信サービスが維持され、あるいは早期に復旧するよう取り組んでまいります。
　また、無人飛行機や衛星との直接通信の実現に向けた取組も進んでおり、総務省としても、技術開発や制度整備によりその取組を支援するほか、災害時等でも無線で応急的にネットワークを構築できる公共ブロードバンド移動通信システムの整備と更なる高速化等を進めることにより、携帯電話が復旧されていない地域を含め、被災地における通信の確保に取り組んでまいります。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/13,"POSITIVE,COMMIT","SPECIFIC_PLAN,BUREAUCRATIC,CROSS_MINISTRY","```json
{""attitude"": [""POSITIVE"", ""COMMIT""], ""content"": [""SPECIFIC_PLAN"", ""BUREAUCRATIC"", ""CROSS_MINISTRY""]}
```"
121604601X00320241218_022,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"福田先生御承知のように、地方交付税は、自治体間の財政力格差がある中で、財源の不均衡を調整するとともに、どの地域に住む国民にも一定のサービスを提供するための必要な財源を保障する重要な役割を担っていると思います。
　こうした役割を適切に果たしていくためには、地方交付税を含めた一般財源総額の確保が重要であり、令和六年度地方財政計画においても、前年度を〇・六兆円上回る六十二・七兆円を確保いたしました。
　令和七年度に向けても、社会保障関係費、人件費の増加や物価高などが見込まれる中で、自治体が様々な行政課題に対応しつつ安定的にサービス提供ができるよう、引き続き、地方交付税を含む一般財源総額をしっかりと確保して適切な交付税の算定に努めていきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/22,"POSITIVE,COMMIT","SPECIFIC_PLAN,OWN_OPINION,BUREAUCRATIC,BUDGET","```json
{""attitude"": [""POSITIVE"", ""COMMIT""], ""content"": [""SPECIFIC_PLAN"", ""OWN_OPINION"", ""BUREAUCRATIC"", ""BUDGET""]}
```"
121604601X00320241218_030,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"まず、杉村先生には私の拙い著書を読んでいただき、ありがとうございました。
　今お話がありましたように、自治体の標準準拠システムへの移行経費を支援するデジタル基盤改革支援基金の設置年限は、御高承のように、地方公共団体情報システム機構法で令和七年度末とされています。
　しかしながら、今申されたように、標準準拠システムへの移行完了が令和八年度以降となる見込みのシステムが一定数あるという状況に残念ながらあります。
　このことを踏まえまして、総務省としましては、引き続き財政支援を行うために基金設置年限の延長が必要と考え、五年延長を目途に検討を行っているところであります。
　今後も、標準準拠システムへの円滑かつ安全な移行に向けて、自治体の皆さんの御意見を丁寧に聞きながら必要な対応を行ってまいりたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/30,"POSITIVE,CONSIDER","SPECIFIC_PLAN,OWN_OPINION,BUREAUCRATIC,BUDGET,TIMELINE","```json
{""attitude"": [""POSITIVE"", ""CONSIDER""], ""content"": [""SPECIFIC_PLAN"", ""OWN_OPINION"", ""BUREAUCRATIC"", ""BUDGET"", ""TIMELINE""]}
```"
121604601X00320241218_086,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"この問題はなかなか複雑でして、公職選挙法上、ウェブサイト等を利用する選挙運動については、電子メールアドレス等の表示義務を果たせば行うことができます。ただし、ホームページやＳＮＳなど、どの手段を用いるかやその内容について制限する規定はないわけであります。
　立候補届出の際にＳＮＳアカウントのアドレスやシンボルマークの届出も義務づける場合には、ウェブサイト等を利用する選挙運動における手段や記載内容の制限につながるものであり、公職選挙法の改正が必要となるものと考えられております。
　いずれにしても、御提案は選挙運動の在り方について関わる事柄であり、成り済まし防止にどの程度資するものかも含め、各党各会派において御議論いただきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/86,"EXPLAIN,DEFER",BUREAUCRATIC,"```json
{""attitude"": [""EXPLAIN"", ""DEFER""], ""content"": [""BUREAUCRATIC""]}
```"
121604601X00320241218_126,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,私の個人的なあれは、亡くなられた翁長知事さんや御子息と非常に懇意にさせていただいておるので、私としてはほかの都道府県と全く同じだというふうに感じております。,https://kokkai.ndl.go.jp/txt/121604601X00320241218/126,EXPLAIN,OWN_OPINION,"```json
{""attitude"": [""EXPLAIN""], ""content"": [""OWN_OPINION""]}
```"
121604601X00320241218_098,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"令和七年度の地方財政については、黒田委員御指摘のとおり、人件費や社会保障関係費の増加、物価高などが見込まれている中でも、自治体が様々な行政課題に取り組みつつ、行政サービスを安定的に提供できるよう対応していくことが必要であるというふうに考えております。
　私自身も、自治体の皆様方から特に人件費の確保や物価高への対応について御要望をいただいております。令和七年度地方財政対策に向けて、地方交付税を含めた必要な一般財源総額をしっかりと確保できるように努力していきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/98,POSITIVE,"OWN_OPINION,BUDGET","```json
{""attitude"": [""POSITIVE""], ""content"": [""OWN_OPINION"", ""BUDGET""]}
```"
121604601X00320241218_084,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"杉本委員の御質問、誠にありがとうございます。
　まず、利便性の高い場所については、有権者の投票環境の向上を図る取組は重要であるというふうに考えております。
　総務省におきましては、国政選挙や統一地方選挙に際し、ショッピングセンター等の利便性の高い場所への期日前投票所の設置、複数の箇所を巡回する自動車を用いた移動期日前投票所の取組の実施など、有権者の投票環境の向上を図る取組の積極的な実施を要請しています。
　加えて、財政面について支援するとともに、各選挙管理委員会の取組事例をまとめた事例集を作成しまして横展開を図っております。こうした取組が着実に増加しております。
　引き続き、選挙管理委員会において投票環境の向上を図る取組を積極的に実施できるよう、必要な支援を実施してまいりたいと考えております。
　もう一方、地元の学校のグラウンドの使用を禁止した件についてでありますが、従来から多くの学校施設が投票所となっており、総務省におきましては、国政選挙や統一地方選に際し、学校施設の投票所を利用することについて文部科学省に要請しております。
　投票所の運営方法については、投票所ごとに市町村の選挙管理委員会と学校施設との間で調整を行い、決定しているものと承知しています。
　総務省としましては、当日のグラウンド利用を禁止することが適当である旨の助言は行っておりません。投票所は、選挙人の便宜を考慮して投票区の中で最も適切な施設を選定するように要請しています。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/84,"POSITIVE,EXPLAIN","SPECIFIC_PLAN,BUREAUCRATIC,CROSS_MINISTRY,BUDGET","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""SPECIFIC_PLAN"", ""BUREAUCRATIC"", ""CROSS_MINISTRY"", ""BUDGET""]}
```"
121604601X00320241218_148,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,私も四十年近く政治家をやっているんですが、私の印象では、橋本さんや野中さんは随分沖縄の皆さん方のお気持ちを忖度して、その意思に沿うように一生懸命努力されていたように私は感じていました。ただ、その後はどうかというといろいろ見解の相違があるのでなかなか言いづらいことでありますけれども、橋本さんや野中さんのような非常に丁寧なあれが少し少なかったのかなという印象は受けています。,https://kokkai.ndl.go.jp/txt/121604601X00320241218/148,EXPLAIN,"OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""EXPLAIN""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00320241218_088,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"今、杉本委員からございました、政治改革等の必要性から御指摘の放送番組の再放送を希望されているという御趣旨はよく理解いたしました。
　ただ、他方、放送法では、放送事業者の自主自律を基本とする枠組みとなっており、放送事業者は自らの責任において放送番組の編集を行うとされております。
　杉本委員御指摘の放送番組再放送については、ＮＨＫが自主的に判断するものと考えております。個人的にはちょっと話してみたいとは思います。
　あと、ミャクミャク君のキャラクターについては、公式マスコットキャラクターの着ぐるみの貸出しについては、万博の主催者である公益社団法人二〇二五年日本国際博覧会協会のほか、地元自治体である大阪府や大阪市から各自治体に対して周知されており、自治体からの要望に応じ貸出しが行われると承知しております。
　大阪・関西万博は国を挙げた大イベントであり、総務省としましても、今後、各自治体への広報について、関係団体からの御相談において必要な協力を最大限行ってまいりたいと思っています。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/88,"EXPLAIN,POSITIVE,DEFER","OWN_OPINION,BUREAUCRATIC,CROSS_MINISTRY","```json
{""attitude"": [""EXPLAIN"", ""POSITIVE"", ""DEFER""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC"", ""CROSS_MINISTRY""]}
```"
121604601X00320241218_150,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,私は非常に浅学非才なもので、守備範囲が広いので、今は毎日四、五時間の睡眠で一生懸命頑張っております。ある程度マスターできたら委員とともに行ってみたい、そういうふうに考えております。,https://kokkai.ndl.go.jp/txt/121604601X00320241218/150,"POSITIVE,CONSIDER",OWN_OPINION,"```json
{""attitude"": [""POSITIVE"", ""CONSIDER""], ""content"": [""OWN_OPINION""]}
```"
121604601X00320241218_104,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"向山議員の御質問にお答えします。
　百三万円の壁については、御高承のように三党の税制調査会の幹事会で議論されておりまして、我々は残念ながらそれを見守るしかないところがありまして。ですから、百七十八万円を目指して来年から引き上げる、各項目の具体的な実施方法については引き続き関係者で誠実に協議を進める、そういうふうになっておりますので、それの推移を見守ります。ただ、問題としては、財源論がその中でどういうふうになっていくか、それも見ながら考えていかなきゃいけないと思います。
　総務省としましては、日頃から、地方税制等に関して、自治体からの問合せ対応や情報提供、意見交換を行っております。委員御指摘のとおり、地方の首長からは、個人住民税の税収減による地方財源や行政サービスへの影響を懸念する声が上がっていることは承知しております。その懸念については十分に理解しておりますので、地方税収への影響などを含め、様々な論点について検討や協議が進められることに鑑みて、総務省も誠実にいろいろな疑問に答えながら対応していきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/104,"DEFER,POSITIVE,CONSIDER","BUDGET,BUREAUCRATIC,OWN_OPINION","```json
{""attitude"": [""DEFER"", ""POSITIVE"", ""CONSIDER""], ""content"": [""BUDGET"", ""BUREAUCRATIC"", ""OWN_OPINION""]}
```"
121604601X00320241218_152,216,総務委員会,2024-12-18,第3号,金子容三,防衛大臣政務官,大臣政務官,防衛省,False,非担当,不明,不明,"お答えします。
　我が国を取り巻く戦後最も厳しく複雑な安全保障環境の中で、国民の命と平和な暮らし、我が国の領土、領海、領空を断固として守り抜くことは政府の最も重要な責務でございます。
　政府としては、まず優先されるべきは積極的な外交であるというふうに考えております。多層的に積極的な外交を展開することによって、我が国にとって望ましい安全保障環境を実現する考えでございます。
　その上で、外交には裏づけとなる防衛力が必要でございます。防衛省としては、戦略三文書に基づく防衛力の抜本的強化を着実に実現することにより、我が国の抑止力、対処力を向上させ、武力攻撃そのものの可能性を低下させていく考えでございます。
　このように、政府としては、外交力、防衛力を含む総合的な国力を結集し、我が国を断固として守り抜いてまいります。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/152,"POSITIVE,COMMIT","OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE"", ""COMMIT""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00420241219_046,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"黒田委員の御質問にお答えしたいと思います。
　各自治体が、複雑化、多様化する行政課題に的確に対応しつつ、効率的で質の高い行政の実現を図る上で、各自治体を支える人材の確保や業務の見直し、テレワークなどの柔軟な働き方の促進といった働き方改革の観点は大変重要であるというふうに考えております。
　その点を踏まえながら、総務省では、昨年十二月に、自治体が人材育成、確保を戦略的に進めるための指針として、人材育成・確保基本方針策定指針を策定したところであります。特に専門人材の確保が課題となる中、小規模市町村を中心に配置が困難な専門人材を都道府県等が確保し派遣する取組を進めるなど、人材確保の取組を支援しているところであります。
　また、適切な職場マネジメントや働き方改革といった取組について、これまで、ガイドブックや事例集を作成して自治体に周知してきたほか、大学教授等の専門家を希望する自治体へ派遣し、専門的な立場から助言、情報提供を行うことで取組を支援する専門家派遣事業を実施してきたところであります。
　その上に、これからは、総務省としては、各自治体における人材確保や働き方改革の取組が着実に進むよう、必要な助言、情報提供をしっかりと行っていきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/46,"POSITIVE,EXPLAIN","SPECIFIC_PLAN,OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""SPECIFIC_PLAN"", ""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00320241218_158,216,総務委員会,2024-12-18,第3号,友納理緒,内閣府大臣政務官,大臣政務官,内閣府,False,非担当,不明,不明,"質問にお答えいたします。
　大阪府で性暴力被害者支援の中核を担ってくださってきましたワンストップ支援センター、ＳＡＣＨＩＣＯにつきまして、現在、大阪府は移転先を確保すべく検討を進めているということは承知しております。
　現在、全ての都道府県においてワンストップ支援センターで被害者支援ができている体制になっている中で、大阪府においてワンストップ支援センターの機能が損なわれるようなことがあってはならないと考えております。このような認識は大阪府とも共有しているところです。
　内閣府としましては、大阪府に対し移転に伴う対応等に必要な情報を提供するなど、適切に対応してまいります。
　　　　〔あかま委員長代理退席、委員長着席〕",https://kokkai.ndl.go.jp/txt/121604601X00320241218/158,"POSITIVE,EXPLAIN","BUREAUCRATIC,OWN_OPINION","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""BUREAUCRATIC"", ""OWN_OPINION""]}
```"
121604601X00320241218_160,216,総務委員会,2024-12-18,第3号,友納理緒,内閣府大臣政務官,大臣政務官,内閣府,False,非担当,不明,不明,"御質問にお答えいたします。
　性犯罪・性暴力被害者支援のための交付金についてのお尋ねかと存じます。
　ワンストップ支援センターは、都道府県等が整備している相談窓口であり、内閣府は本交付金により都道府県等の取組を支援しております。
　本交付金の予算につきましては、厳しい財政状況の中にありましても、各地域のニーズに合わせ、年々増加をしてまいりました。今年度は、前年度に比べ約二割の増額、総額約六億円の執行を可能とし、また、昨日成立いたしました補正予算においても二億円超を計上したところでございます。
　引き続き、執行状況も見つつ、ワンストップ支援センターの運営に必要な予算額を確保できるように努めてまいります。
　また、議員から御質問がありました交付金が医師の人件費に充てられないという点でございますけれども、交付金はこれまでも連携協力する医療関係者等に対する謝金、負担金に充てられるようにとしておりますので、内閣府としてはそれらの点をよりしっかりと都道府県等に周知してまいりたいと思います。なお、医療従事者につきましてですが、診療行為そのものには別の手当てがされるものであることも踏まえることも必要であると考えております。
　いずれにしましても、都道府県におけるニーズをよく把握しつつ、本交付金の効果的な活用を図ってまいります。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/160,"POSITIVE,EXPLAIN","SPECIFIC_PLAN,BUREAUCRATIC,BUDGET","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""SPECIFIC_PLAN"", ""BUREAUCRATIC"", ""BUDGET""]}
```"
